plotID,transect,segment,pft,pctCover
A02,s,1,b,0.17365269461077845
A02,s,1,c,0.3532934131736527
A02,s,1,d,0.017964071856287425
A02,s,1,r,0.32934131736526945
A02,s,1,s,0.12574850299401197
A02,s,2,b,0.2275449101796407
A02,s,2,c,0.2774451097804391
A02,s,2,s,0.2954091816367265
A02,e,1,b,0.45708582834331335
A02,e,1,c,0.04790419161676647
A02,e,1,s,0.49500998003992014
A02,e,2,b,0.1317365269461078
A02,e,2,c,0.37524950099800397
A02,e,2,s,0.2934131736526946
A02,w,1,b,0.4930139720558882
A02,w,1,c,0.06387225548902195
A02,w,1,r,0.03992015968063872
A02,w,1,s,0.4031936127744511
A02,w,2,b,0.36327345309381237
A02,w,2,c,0.11976047904191617
A02,w,2,r,0.31137724550898205
A02,w,2,s,0.005988023952095809
A02,n,1,b,0.14171656686626746
A02,n,1,c,0.18962075848303392
A02,n,1,r,0.10578842315369262
A02,n,1,s,0.562874251497006
A02,n,2,b,0.3013972055888224
A02,n,2,c,0.2634730538922156
A02,n,2,s,0.23552894211576847
A03,s,1,c,0.3812375249500998
A03,s,1,r,0.20159680638722555
A03,s,1,s,0.4171656686626746
A03,s,2,c,0.3093812375249501
A03,s,2,s,0.49101796407185627
A03,e,1,b,0.2215568862275449
A03,e,1,c,0.03592814371257485
A03,e,1,r,0.13572854291417166
A03,e,1,s,0.6067864271457086
A03,e,2,b,0.2754491017964072
A03,e,2,c,0.32934131736526945
A03,e,2,s,0.19560878243512975
A03,w,1,b,0.281437125748503
A03,w,1,c,0.16167664670658682
A03,w,1,r,0.1536926147704591
A03,w,1,s,0.4031936127744511
A03,w,2,c,0.2934131736526946
A03,w,2,s,0.5069860279441117
A03,n,1,b,0.2375249500998004
A03,n,1,c,0.011976047904191617
A03,n,1,r,0.2874251497005988
A03,n,1,s,0.4630738522954092
A03,n,2,c,0.03992015968063872
A03,n,2,r,0.13972055888223553
A03,n,2,s,0.6207584830339321
A04,s,1,b,0.2275449101796407
A04,s,1,c,0.6027944111776448
A04,s,1,s,0.16966067864271456
A04,s,2,b,0.16167664670658682
A04,s,2,c,0.5808383233532934
A04,s,2,s,0.05788423153692615
A04,e,1,b,0.21756487025948104
A04,e,1,c,0.4031936127744511
A04,e,1,r,0.031936127744510975
A04,e,1,s,0.3473053892215569
A04,e,2,b,0.15568862275449102
A04,e,2,c,0.5289421157684631
A04,e,2,s,0.1157684630738523
A04,w,1,b,0.19560878243512975
A04,w,1,c,0.7365269461077845
A04,w,1,r,0.06786427145708583
A04,w,2,b,0.4471057884231537
A04,w,2,c,0.20359281437125748
A04,w,2,r,0.10778443113772455
A04,w,2,s,0.041916167664670656
A04,n,1,b,0.281437125748503
A04,n,1,c,0.5728542914171657
A04,n,1,s,0.14570858283433133
A04,n,2,b,0.10578842315369262
A04,n,2,c,0.6946107784431138
A05,s,1,b,0.15568862275449102
A05,s,1,c,0.812375249500998
A05,s,1,s,0.031936127744510975
A05,s,2,b,0.2874251497005988
A05,s,2,c,0.4471057884231537
A05,s,2,s,0.0658682634730539
A05,e,1,b,0.6766467065868264
A05,e,1,c,0.24151696606786427
A05,e,1,s,0.08183632734530938
A05,e,2,b,0.13972055888223553
A05,e,2,c,0.4550898203592814
A05,e,2,d,0.031936127744510975
A05,e,2,r,0.027944111776447105
A05,e,2,s,0.14570858283433133
A05,w,1,b,0.2055888223552894
A05,w,1,c,0.6447105788423154
A05,w,1,s,0.1497005988023952
A05,w,2,b,0.10578842315369262
A05,w,2,c,0.6946107784431138
A05,n,1,b,0.45708582834331335
A05,n,1,c,0.3712574850299401
A05,n,1,s,0.17165668662674652
A05,n,2,b,0.3393213572854291
A05,n,2,c,0.42714570858283435
A05,n,2,s,0.033932135728542916
A06,s,1,b,0.1437125748502994
A06,s,1,c,0.29740518962075846
A06,s,1,s,0.5588822355289421
A06,s,2,b,0.2754491017964072
A06,s,2,c,0.5189620758483033
A06,s,2,r,0.005988023952095809
A06,e,1,b,0.00998003992015968
A06,e,1,c,0.249500998003992
A06,e,1,g,0.13972055888223553
A06,e,1,s,0.6007984031936128
A06,e,2,b,0.4810379241516966
A06,e,2,c,0.16766467065868262
A06,e,2,g,0.15169660678642716
A06,w,1,b,0.20159680638722555
A06,w,1,c,0.24750499001996007
A06,w,1,s,0.5508982035928144
A06,w,2,b,0.3532934131736527
A06,w,2,c,0.21756487025948104
A06,w,2,d,0.03792415169660679
A06,w,2,g,0.07984031936127745
A06,w,2,s,0.11177644710578842
A06,n,1,c,0.2874251497005988
A06,n,1,r,0.13972055888223553
A06,n,1,s,0.5728542914171657
A06,n,2,b,0.20359281437125748
A06,n,2,c,0.11976047904191617
A06,n,2,r,0.1317365269461078
A06,n,2,s,0.34530938123752497
A07,s,1,b,0.7904191616766467
A07,s,1,c,0.20958083832335328
A07,s,2,c,0.8003992015968064
A07,e,1,b,0.9241516966067864
A07,e,1,c,0.07584830339321358
A07,e,2,b,0.18562874251497005
A07,e,2,c,0.6147704590818364
A07,w,1,b,0.6287425149700598
A07,w,1,c,0.3712574850299401
A07,w,2,b,0.18163672654690619
A07,w,2,c,0.12375249500998003
A07,w,2,d,0.021956087824351298
A07,w,2,s,0.47305389221556887
A07,n,1,b,0.40718562874251496
A07,n,1,c,0.17564870259481039
A07,n,1,g,0.2694610778443114
A07,n,1,s,0.14770459081836326
A07,n,2,b,0.49500998003992014
A07,n,2,c,0.03592814371257485
A07,n,2,s,0.2694610778443114
A08,s,1,b,0.6227544910179641
A08,s,1,r,0.13572854291417166
A08,s,1,s,0.24151696606786427
A08,s,2,b,0.49500998003992014
A08,s,2,r,0.2275449101796407
A08,s,2,s,0.07784431137724551
A08,e,1,b,0.3772455089820359
A08,e,1,c,0.24750499001996007
A08,e,1,r,0.059880239520958084
A08,e,1,s,0.3153692614770459
A08,e,2,b,0.2934131736526946
A08,e,2,c,0.1656686626746507
A08,e,2,r,0.05389221556886228
A08,e,2,s,0.2874251497005988
A08,w,1,b,0.5788423153692615
A08,w,1,c,0.2834331337325349
A08,w,1,s,0.1377245508982036
A08,w,2,b,0.3852295409181637
A08,w,2,s,0.4151696606786427
A08,n,1,b,0.6526946107784432
A08,n,1,c,0.18762475049900199
A08,n,1,s,0.1596806387225549
A08,n,2,b,0.6087824351297405
A08,n,2,c,0.09181636726546906
A08,n,2,r,0.05788423153692615
A08,n,2,s,0.041916167664670656
A09,s,1,b,0.4231536926147705
A09,s,1,r,0.5568862275449101
A09,s,1,s,0.01996007984031936
A09,s,2,b,0.3912175648702595
A09,s,2,c,0.07784431137724551
A09,s,2,d,0.023952095808383235
A09,s,2,r,0.29141716566866266
A09,s,2,s,0.015968063872255488
A09,e,1,b,0.7145708582834331
A09,e,1,c,0.0658682634730539
A09,e,1,r,0.21956087824351297
A09,e,2,b,0.4031936127744511
A09,e,2,c,0.10578842315369262
A09,e,2,s,0.29141716566866266
A09,w,1,b,0.6866267465069861
A09,w,1,c,0.1656686626746507
A09,w,1,r,0.09580838323353294
A09,w,1,s,0.05189620758483034
A09,w,2,b,0.6147704590818364
A09,w,2,r,0.15568862275449102
A09,w,2,s,0.029940119760479042
A09,n,1,b,0.564870259481038
A09,n,1,c,0.2634730538922156
A09,n,1,s,0.17165668662674652
A09,n,2,b,0.5528942115768463
A09,n,2,c,0.02594810379241517
A09,n,2,s,0.2215568862275449
A010,s,1,b,0.3393213572854291
A010,s,1,c,0.015968063872255488
A010,s,1,g,0.41916167664670656
A010,s,1,s,0.22554890219560877
A010,s,2,c,0.005988023952095809
A010,s,2,g,0.7724550898203593
A010,s,2,r,0.00998003992015968
A010,s,2,s,0.011976047904191617
A010,e,1,b,0.3712574850299401
A010,e,1,d,0.03592814371257485
A010,e,1,g,0.21357285429141717
A010,e,1,r,0.09580838323353294
A010,e,1,s,0.2834331337325349
A010,e,2,b,0.24550898203592814
A010,e,2,g,0.3932135728542914
A010,e,2,r,0.1317365269461078
A010,e,2,s,0.029940119760479042
A010,w,1,b,0.4810379241516966
A010,w,1,g,0.17165668662674652
A010,w,1,r,0.007984031936127744
A010,w,1,s,0.3393213572854291
A010,w,2,b,0.3313373253493014
A010,w,2,c,0.005988023952095809
A010,w,2,g,0.3972055888223553
A010,w,2,r,0.011976047904191617
A010,w,2,s,0.05389221556886228
A010,n,1,b,0.41317365269461076
A010,n,1,s,0.5868263473053892
A010,n,2,b,0.35728542914171657
A010,n,2,c,0.09181636726546906
A010,n,2,g,0.11177644710578842
A010,n,2,s,0.23952095808383234
A011,s,1,b,0.36926147704590817
A011,s,1,g,0.34930139720558884
A011,s,1,r,0.05389221556886228
A011,s,1,s,0.2275449101796407
A011,s,2,b,0.1497005988023952
A011,s,2,g,0.3532934131736527
A011,s,2,r,0.033932135728542916
A011,s,2,s,0.2634730538922156
A011,e,1,b,0.3033932135728543
A011,e,1,g,0.21956087824351297
A011,e,1,s,0.47704590818363274
A011,e,2,s,0.8003992015968064
A011,w,1,b,0.25349301397205587
A011,w,1,d,0.08782435129740519
A011,w,1,g,0.4530938123752495
A011,w,1,s,0.2055888223552894
A011,w,2,b,0.5409181636726547
A011,w,2,s,0.25948103792415167
A011,n,1,b,0.249500998003992
A011,n,1,g,0.43313373253493015
A011,n,1,r,0.01996007984031936
A011,n,1,s,0.29740518962075846
A011,n,2,s,0.8003992015968064
